"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"2003",-1805331.57752496,2700099.5,-2.59059155134546,0.0256121026868631,0.481389343067658,-4.59511984921236
"2018",-3173134.31632039,15328174.3333333,-0.994834060636495,0.341778100693285,0.944159489199035,-4.59511985013733
"2014",-312834.522461676,1131906.33333333,-0.619756166207026,0.548386053541402,0.999964564224971,-4.59511985031211
"2002",-1695703.68424218,3719152.91666667,-1.01046428051139,0.334573112627055,0.938765583415107,-4.59511985012915
"1994",-9667.52559010666,140398.166666667,-0.203608814534581,0.842478919216766,0.999964564224971,-4.59511985042037
"2012",-500105.081912663,10761942.5833333,-0.194574794858674,0.849370121474212,0.999964564224971,-4.59511985040377
"2056",1546442.5,16124866.5833333,0.312987500448343,0.760304838351838,0.999964564224971,-4.59511985040302
"2008",-648780.833333334,4371859.25,-0.464439082171275,0.651638284423411,0.999964564224971,-4.59511985036547
"2053",3607301.16666667,37060353.4166667,0.205806122054787,0.840804863632122,0.999964564224971,-4.59511985042104
"2013",-997201.500000001,4382291.25,-0.544022996754982,0.597576664710664,0.999964564224971,-4.59511985034033
"2025",-322630.446182339,7434212.5,-0.304819336271522,0.7663495649612,0.999964564224971,-4.5951198503729
"2028",-196772.22366101,680995.666666667,-0.907957829960237,0.383890400143541,0.976943676112798,-4.59511985018335
"2017",-186363.703318079,725700.833333333,-0.762126835699202,0.462450381416883,0.999964564224971,-4.59511985025029
"2033",4647.74238077947,266306.833333333,0.0631603304415247,0.950803032243601,0.999964564224971,-4.5951198504149
"2052",135015.842439912,6954774.5,0.113123685154872,0.912026560813454,0.999964564224971,-4.59511985042028
"2068",-639312.446747323,1098910.41666667,-2.18567242159493,0.0520136830504062,0.622538769009549,-4.59511984939264
"2039",-63356.9539587899,243974.666666667,-0.854822241672307,0.411377291100758,0.999964564224971,-4.59511985020645
"2066",303225.333333333,2387827.66666667,0.443373454985851,0.666324943840191,0.999964564224971,-4.59511985037151
"2045",-855520.666666667,3112964.16666667,-0.716994862330063,0.488730312198422,0.999964564224971,-4.59511985027383
"2037",-93786.7110496379,368728.5,-0.901513204756187,0.387154231176826,0.981987222124002,-4.59511985018606
"2049",-292798.478498166,1388408.5,-0.775349038858011,0.454924905859008,0.999964564224971,-4.59511985024152
"2064",-146347.126817628,5087459.5,-0.152975811569604,0.881263419421406,0.999964564224971,-4.59511985038052
"2059",-636009.552832875,1977306.91666667,-1.30471820309621,0.21934708454863,0.879685166304978,-4.59511984995729
"2058",-457364.209528672,955046.583333333,-1.65847524913557,0.126208225794581,0.769241695528907,-4.59511984974543
"2076",-326086.885152624,1744233.58333333,-1.38246797383237,0.194996142336013,0.837453232052325,-4.59511984991197
"2057",-289742.027267078,628620.75,-2.70062556112553,0.0210903740811499,0.450264526842254,-4.59511984912561
"2067",465648.714500531,11737256.25,0.146553681820941,0.886208436594477,0.999964564224971,-4.59511985042706
"2060",-87595.8475744453,321085.25,-1.23725953029029,0.242450678397178,0.897184636001153,-4.59511985001303
"2063",69560,539934.666666667,0.356585316644501,0.728332950249493,0.999964564224971,-4.59511985039363
"2062",-327237.42457082,829545.083333333,-2.50331044190316,0.0298688178323926,0.493320412498555,-4.59511984930004
"2079",-685130.611780015,2099623.91666667,-1.0118753301768,0.333928218996674,0.938765583415107,-4.59511985012867
"2069",-65734.1218552263,181905.666666667,-1.23122470416619,0.244609951449205,0.900823186586976,-4.59511985002634
"2101",-2889196.25639452,6505222.75,-1.58969164265915,0.14098578334873,0.78466107071495,-4.59511984976999
"2078",-99045.3333333338,9252567,-0.0307001558626643,0.976073700284714,0.999964564224971,-4.59511985043459
"2074",-511221.873517167,897096.833333333,-4.25145453004809,0.00144822743777173,0.109311244671795,-4.59511984847265
"2097",-74521.5537538822,280132.666666667,-1.26477706319251,0.232798832346762,0.88382289273182,-4.59511985000653
"2085",-169900.37823708,787120.25,-1.48080125718079,0.167488845678921,0.811734350479212,-4.59511984984784
"2089",-199945.127834385,1019618.16666667,-0.985027718510104,0.34635615726492,0.944159489199035,-4.59511985014238
"2081",-290326.605367984,579500.333333333,-1.81186382269266,0.0981278446637485,0.689595679013132,-4.59511984964922
"2093",15307.0945464181,278398.166666667,0.181211180624184,0.859588017261394,0.999964564224971,-4.59511985041197
"2083",-24735.6454817869,661705,-0.146636339994319,0.886144757348673,0.999964564224971,-4.59511985041842
"2087",-191683.55361229,400947,-1.46026932290687,0.172941337952838,0.812718189397999,-4.59511984986651
"2092",-638752.559115038,1381738.91666667,-1.83330238275066,0.0946914178014729,0.689595679013132,-4.59511984961732
"2088",-150732.485400271,1156667.16666667,-0.353026315172414,0.730923676966647,0.999964564224971,-4.59511985037906
"2086",-203134.244587354,676088.25,-1.26532471331489,0.232609950096107,0.88382289273182,-4.59511984998049
"2095",-112272.806475032,994576.333333333,-0.453404674442251,0.659312535071148,0.999964564224971,-4.59511985035939
"2112",-780154.103749958,2291308.91666667,-2.86291027072943,0.0158311514736912,0.391182646091854,-4.59511984902716
"2137",-208233.798951625,578218.75,-3.00589842019784,0.0122978449505271,0.348894416003844,-4.59511984901792
"2107",-275731.943075736,2480871,-0.342807422836251,0.738381843353678,0.999964564224971,-4.59511985039264
"2116",-263207.141396951,2286865.58333333,-0.388034633945669,0.705597486219194,0.999964564224971,-4.59511985037512
"2121",-177271.86112201,973678.833333333,-0.690636253057671,0.504497400932297,0.999964564224971,-4.59511985027442
"2120",-114051.114046899,981661.916666667,-0.454172234814435,0.658777364205003,0.999964564224971,-4.59511985035395
"2114",-22666.8836698253,190965.083333333,-0.401905890569212,0.69566291556376,0.999964564224971,-4.59511985036024
"2119",-317519.670290435,1234485.83333333,-0.944704696745477,0.365649606059684,0.961029516289219,-4.59511985016375
"2131",-187022.591417402,650689.833333333,-1.97163946009747,0.0750499790845742,0.689595679013132,-4.59511984961142
"2144",-231402.539280154,1326817.58333333,-0.989386352481807,0.344315847956925,0.944159489199035,-4.59511985013967
"2136",-200172,965345.5,-0.515561849360511,0.616642980606105,0.999964564224971,-4.59511985034973
"2135",16580.806024455,177930.75,0.288800778563998,0.778250929660134,0.999964564224971,-4.5951198503924
"2138",-1084181.9773455,1544330.58333333,-2.79451166174141,0.0178657448653953,0.427661267715401,-4.59511984905628
"2148",-182201.37887222,760329.916666667,-1.41014671943813,0.186892100596229,0.829266205139967,-4.59511984989256
"2145",134799.983007297,757882.916666667,0.524619286157346,0.610542183642626,0.999964564224971,-4.59511985033252
"2146",-561340.397348366,1437722.25,-1.26870455723082,0.231447008447659,0.88382289273182,-4.59511984998403
"2174",-224816.308617231,9597833.58333333,-0.0914430941816885,0.928829631838823,0.999964564224971,-4.595119850432
"2150",-156357.35022574,538673.083333333,-1.57854961134126,0.143517980230867,0.78466107071495,-4.59511984980633
"2151",-228459.360245356,602334.75,-1.60383518802884,0.137828087735138,0.78466107071495,-4.59511984978171
"2156",-53828.2919990723,498012.75,-0.686931001516852,0.506738219695768,0.999964564224971,-4.59511985026584
"2175",-867717.953600328,4744728.33333333,-0.818188940402009,0.43108983255007,0.999964564224971,-4.59511985022222
"2161",-386949.008804688,944541.166666667,-1.46274624114852,0.172275602568461,0.812718189397999,-4.5951198498669
"2158",-401664.855877885,1192300.91666667,-1.82164880111324,0.0965454882885218,0.689595679013132,-4.59511984968404
"2206",-1531025.5,3436105.25,-0.638337959852295,0.536673946784063,0.999964564224971,-4.595119850306
"2189",-3947122.08311521,8945340.66666667,-0.653484395780126,0.527234626408716,0.999964564224971,-4.59511985029786
"2166",-758468.704919003,2424968.83333333,-1.59404818169797,0.140006422671688,0.78466107071495,-4.59511984978574
"2170",-774491.978686887,2752652.75,-1.07008175417261,0.308122907683078,0.912573300049572,-4.59511985009732
"2180",-911399.001241456,4965297.16666667,-0.894761427577355,0.390594348493135,0.98634805856209,-4.59511985018956
"2177",-816720.330611159,4471803.16666667,-0.879768791155405,0.398309109506458,0.987394103177822,-4.59511985019011
"2169",-267638.679573363,1445398.83333333,-0.598082390483152,0.562227844552195,0.999964564224971,-4.59511985031998
