	Spot	logFC	AveExpr	t	P.Value	adj.P.Val	B
1672	1672	-0.0360873343138759	21.2605397783836	-0.388454946127921	0.703969288421562	0.997709975351233	-5.64874234225334
2415	2415	0.0416125607390181	18.5669227150061	0.365698568980522	0.720474328105652	0.997709975351233	-5.64924625586732
1876	1876	-0.158134126464837	19.723895923851	-0.548474743861259	0.592664895085777	0.997709975351233	-5.65100659358577
1777	1777	-0.0636185493322132	22.2646870573669	-0.526796363594801	0.607211355338285	0.997709975351233	-5.65133818462583
2819	2819	-0.0897273829688918	17.4638777776265	-0.497031495917849	0.627470023460163	0.997709975351233	-5.65419563347198
2592	2592	0.0700546525617834	17.4680040381715	0.452697160671633	0.658232669733801	0.997709975351233	-5.65529392412305
1698	1698	0.164776733841493	18.7098216913127	0.526846661479134	0.607177399021306	0.997709975351233	-5.65537694299186
1334	1334	-0.0560429003817067	20.6446594653466	-0.430740009037932	0.673716252482965	0.997709975351233	-5.65593110799408
1443	1443	-0.0545760642780325	24.5972804188709	-0.521131928374605	0.611041495042943	0.997709975351233	-5.65635031948334
2433	2433	0.0502757571124955	17.8216012730376	0.46867321592225	0.647068469931568	0.997709975351233	-5.65672362867514
2693	2693	-0.0414320315175451	18.0165659952531	-0.367057859375619	0.719484238663643	0.997709975351233	-5.65688223895488
1340	1340	-0.0660793994580354	24.8395684635485	-0.534042601563693	0.602329196099588	0.997709975351233	-5.6575038582889
2255	2255	0.0737546272338174	17.4904184023425	0.436657893959662	0.669527482883543	0.997709975351233	-5.65846374074478
2206	2206	0.213781820701348	21.0822220275837	0.533755336374181	0.602522364213648	0.997709975351233	-5.65901392524754
2373	2373	0.0601378309597609	18.3872121787719	0.371204398623371	0.716467212493077	0.997709975351233	-5.65952310672933
968	968	-0.133055642404692	20.5207610798953	-0.509440371827322	0.618984687986758	0.997709975351233	-5.65986199481285
1306	1306	0.0892423464750463	20.8652049195393	0.529918119855831	0.605105644576903	0.997709975351233	-5.66096664989981
1311	1311	-0.0258313859916082	22.0523831359183	-0.300720630632076	0.768385127366619	0.997709975351233	-5.66220622682782
