Spot_number;HT_Br_141_27754;HT_Br_142_27755;HT_Br_143_27756;HT_Br_145_27757;HT_Br_153_27758;HT_Br_182_30362;HT_Br_184_30363;HT_Br_186_30343;HT_Br_185_30364;HT_Br_189_30367;HT_Br_221_30350;HT_Br_222_30351;HT_Br_227_30353;HT_Br_229_30354;HT_Br_233_30355;HT_Br_122_27749;HT_Br_123_27750;HT_Br_125_27751;HT_Br_126_27752;HT_Br_129_27753;HT_Br_161_27759;HT_Br_162_27760;HT_Br_166_30359;HT_Br_172_30342;HT_Br_173_30361;HT_Br_202_30368;HT_Br_203_30369;HT_Br_204_30346;HT_Br_205_30347;HT_Br_207_30345
301;33413838;12927213;11944984;12909575;46323956;20808527;23011233;26264963;26264558;27085929;7938251;7525369;8422433;4620378;10049535;13356956;14309964;13820104;10718578;37461476;39869897;9203989;11741095;55254683;7369769;3886129;6259969;6627794;10267615;2108311
288;10456538;28862784;18580901;22944533;6145026;4582574;8016823;1559590;4241717;8030458;12613088;19251060;6691727;8597471;10002346;31065087;17955475;9780909;34310841;7106361;7739402;23278419;13137142;5021978;16850775;19638777;11894691;11613811;4413913;24844551
302;7845651;3085873;2592806;1949764;8907790;4652995;2471764;4146993;3612280;5914696;2084081;1684020;2495003;1673723;1333629;3061553;2803169;2667702;1245779;9751298;9479388;1426637;2177954;7099497;1704413;627719;1030406;1151333;1812658;214755
291;605907;315729;498502;1724864;646640;25703;460;290;8279;154;1925;675;4828;3028;0;384962;480757;397943;418255;526641;515222;521280;121054;1091;0;702;3646;1540;0;1560
276;1088663;921785;1337136;1491263;1787339;733898;229134;1027533;320266;406625;274;2784;40859;12169;805;920453;759292;1108621;821615;1430766;1444970;441019;806639;1951683;5760;0;469;18474;1071;627
282;736013;515211;501578;872277;739335;131567;144013;1148232;402;5506;3766;7131;7246;4776;0;603947;553064;303757;321524;555167;722336;450861;71800;1358562;1783;27;347;1208;1903;0
274;569879;645948;462818;864284;882218;600540;303008;1347224;322035;414983;10766;16511;72675;20667;142;400082;595686;696607;258057;834032;1071149;297550;632420;726269;11907;0;214551;13;97;0
293;7175042;4965042;6216694;4141527;1559169;8873587;5182529;7661282;2968358;2928668;2894877;2297505;1902449;1867700;2759251;3743389;3262134;3061274;2065412;9164047;6030031;1632873;4475619;8187521;2341032;1743018;3190229;1740575;1335766;1977549
342;8014875;3937858;12761731;7442997;9870460;5752027;7605268;9790494;7753237;8509042;3402459;2908755;10067949;6865258;4068533;11720553;7490383;7808479;4118143;7439373;12573597;3899351;10533634;9836011;4764481;2206555;2414513;3251072;9827589;5166087
253;4297968;1847171;1972547;1240952;5847811;3672116;1467111;2634157;2268748;3592151;1108209;833993;1056218;702814;813217;1513258;1443449;1793710;1092378;5874468;5867111;1140198;1312504;5030095;724464;472296;623923;581595;963947;113305
280;1053415;971893;707553;1548667;1167479;249449;515569;97436;3688;18275;911;3499;1771;1870;0;611282;576483;547889;491327;750497;840778;541246;123976;1155388;13146;54;2368;0;1183;0
290;1578778;1981759;769273;930652;1473606;769247;739403;91476;100982;114245;28891;5658;4535;23687;0;1158138;1370652;1327551;775113;1451256;1452441;575706;310266;1187623;259349;3999;44788;0;273;257
345;22306392;14658595;33053656;17099990;19003574;21977958;18391197;27080072;17822044;17821941;10061583;12823771;19533735;16953012;17368415;21760930;18395240;15185149;12728988;28094541;31899058;10163349;24453494;32149758;10563502;14416866;9216906;9580122;21737939;22405753
303;7577346;3615655;3317826;3817556;14173485;4394661;2825094;6992662;4405623;6270813;2759660;2718983;3424800;2644619;2527910;3984792;3750441;3295679;1818725;9065704;11385603;1634510;3271055;13702418;2441657;756930;1031460;1928298;3666484;55175
335;2211811;1773866;1674939;1812503;3958743;2516225;1781578;6518646;2901575;2024750;1021443;402820;2089089;667741;975126;1889270;1229410;1646177;1217694;3227429;2907413;1213627;3688898;4686592;839223;152616;209009;101596;1839657;143703
354;5690872;5865887;4985199;4596524;11691638;5133912;3526288;17916495;5894088;5560591;3296582;1712324;4548878;2657258;4349478;6095538;2715799;5384764;4135292;7481944;7345392;3507876;4997119;12353000;2253989;2779788;1454606;1239951;4917868;25681
294;1610953;1775507;1109145;2461277;1317740;335327;486695;0;9733;92458;23910;9990;22;531;0;787636;1261151;1000988;719112;970951;1185245;977980;167837;929756;144394;4774;401;2187;7655;0
355;1550964;1527660;2550064;2465789;3507478;1271957;643285;1710838;1260500;897105;385320;298082;791018;170064;0;1368720;1450581;1776417;616324;1863905;1842701;1253007;1471307;1891711;397109;1893;60575;3367;35037;0
