"","Br_23865","Br_23883","Br_23884","Br_23728","Br_23729","Br_23730","Br_23731","Br_23732","Br_23733","Br_23875","Br_23876","Br_23877"
"600",20.9667679431825,21.690095157616,21.4555605248237,20.2865721306032,18.6450141522024,20.4639228939758,18.9839178513355,21.0973321082687,18.6113226798129,21.6060317544146,21.169620087299,21.8657068400863
"614",23.4141487655454,24.3412915121604,24.0877809624583,24.6595135979964,23.5307963709,25.173860292334,21.7572725589378,24.3412915121604,22.324685293803,23.4676174732209,23.3109116266836,24.5445588489802
"599",25.173860292334,26.0101856415711,25.8260075763249,26.3504974432156,25.173860292334,26.645701315981,22.7364693562165,26.0921481831291,24.6595135979964,25.9243967505025,24.7386358566859,25.8260075763249
"575",19.7262568047243,20.7037699225685,19.4293466674473,20.3400561360992,18.5029998492596,20.2132877028197,20.3319508983273,21.3036725280662,19.9424304310914,18.9889648113098,19.7641994279474,20.2630865356003
"609",24.8585465239868,25.3878768753657,25.0355984892247,26.0101856415711,25.0782536474447,25.6894345712608,22.8963087347061,25.6057331537829,24.6878969536991,25.5342235328297,25.0355984892247,24.3088168267925
"601",21.0463442716709,22.0068613252755,22.1699911648165,20.0361564345914,19.7023987929992,20.9023855126102,19.2486162726182,21.9164630731714,20.0774361749287,22.1884276029644,21.5433819161581,22.4384721865622
"699",26.4914983523148,26.4914983523148,26.0921481831291,26.4914983523148,25.8260075763249,25.7530397393825,25.5342235328297,26.2210109946714,25.3878768753657,26.3504974432156,26.645701315981,26.0101856415711
"627",20.6958318755771,19.9465135486226,20.1281977542659,21.8861138692854,21.1339461277553,20.0714845426699,18.3977682092807,21.226689940832,19.9979171068901,19.8599436079128,19.7262568047243,20.5551025381267
"638",22.1220592021225,22.3292120930644,22.45041306405,21.3036725280662,20.6882503493309,21.0397349267704,20.0437419590981,21.4281802025124,21.372146111266,22.9981072658666,22.4239509061306,23.3786865675448
"596",19.3413941032042,18.2628991516982,18.9108476712155,18.4609968746743,17.590852944155,18.5458652192157,17.6834522468291,18.7499727893794,18.302458268125,19.7320782164307,19.5136705454197,18.100740462941
"635",21.2668865253698,21.3954068764722,21.6817991570413,21.288184772585,20.0437419590981,20.5707163582668,18.7256154651368,21.288184772585,20.7706087973183,22.324685293803,21.8021038586994,22.6672886928872
"658",20.7376146452785,21.0333005049596,21.3869181099141,19.7567503130806,19.7123049504963,20.4571672852459,18.4538798582046,20.1871978377015,19.8599436079128,21.9267723921835,21.0627787965434,22.092943775311
"611",19.0116342807629,19.6221774393769,19.7320782164307,18.9014381890444,17.8757075227606,17.9493735521809,17.3858754955825,18.9534937178917,17.6253474522936,19.9424304310914,19.445145813393,20.3400561360992
"617",19.3790354838972,20.1803809597192,21.0973321082687,20.4795971889074,19.1342616831636,19.0345758402055,18.8807350593307,18.8364090873404,18.9749171322588,19.8778050632884,20.5476120536246,21.2463038709787
"644",19.2572404514126,19.6439263655819,18.9839178513355,18.4247520137939,18.5373652365121,19.6017816655851,16.8945860247012,19.2486162726182,18.4647081925742,20.7148789693334,18.6947714414087,20.3853585586173
"616",22.6672886928872,23.6006539871798,23.5703030844908,23.2463841338772,23.3985880972107,25.0355984892247,21.8247922619071,23.8105683894289,22.9316827760241,22.8145045015183,23.3985880972107,24.7100174045927
"657",19.32881562317,20.5147226234589,20.2274208420866,20.3522007393202,20.2536191431223,21.4798752093143,19.691183689865,20.5778326493773,19.6439263655819,21.6144694426093,20.7205839540459,22.9811076375774
